date,one_month_treasury_rate_annualized_percent
2024-02-01,5.49
2024-02-02,5.49
2024-02-05,5.49
2024-02-06,5.48
2024-02-07,5.47
2024-02-08,5.49
2024-02-09,5.49
2024-02-12,5.49
2024-02-13,5.48
2024-02-14,5.48
2024-02-15,5.49
2024-02-16,5.48
2024-02-19,5.48
2024-02-20,5.49
2024-02-21,5.5
2024-02-22,5.49
2024-02-23,5.49
2024-02-26,5.5
2024-02-27,5.5
2024-02-28,5.5
2024-02-29,5.53
2024-03-01,5.54
2024-03-04,5.51
2024-03-05,5.5
2024-03-06,5.5
2024-03-07,5.51
2024-03-08,5.51
2024-03-11,5.5
2024-03-12,5.52
2024-03-13,5.52
2024-03-14,5.52
2024-03-15,5.52
2024-03-18,5.52
2024-03-19,5.52
2024-03-20,5.5
2024-03-21,5.51
2024-03-22,5.51
2024-03-25,5.51
2024-03-26,5.5
2024-03-27,5.5
2024-03-28,5.49
2024-03-29,5.49
2024-04-01,5.49
2024-04-02,5.49
2024-04-03,5.47
2024-04-04,5.47
2024-04-05,5.47
2024-04-08,5.48
2024-04-09,5.48
2024-04-10,5.49
2024-04-11,5.48
2024-04-12,5.48
2024-04-15,5.49
2024-04-16,5.49
2024-04-17,5.49
2024-04-18,5.49
2024-04-19,5.49
2024-04-22,5.49
2024-04-23,5.49
2024-04-24,5.49
2024-04-25,5.48
2024-04-26,5.48
2024-04-29,5.48
2024-04-30,5.48
2024-05-01,5.47
2024-05-02,5.51
2024-05-03,5.51
2024-05-06,5.51
2024-05-07,5.51
2024-05-08,5.51
2024-05-09,5.51
2024-05-10,5.51
2024-05-13,5.5
2024-05-14,5.5
2024-05-15,5.49
2024-05-16,5.51
2024-05-17,5.5
2024-05-20,5.5
2024-05-21,5.5
2024-05-22,5.49
2024-05-23,5.51
2024-05-24,5.56
2024-05-27,5.56
2024-05-28,5.5
2024-05-29,5.5
2024-05-30,5.48
2024-05-31,5.48
