ticker,january_return,january_annualized_volatility,january_max_drawdown,january_beta_to_equal_weight_universe,january_average_volume
AAPL,-0.006679668891727886,0.21218307343272433,-0.05523089704906792,0.781423792514616,56547180.952380955
MSFT,0.0720199697544135,0.16547811004056556,-0.029629851318479727,0.6320539669850255,25166247.61904762
NVDA,0.27734196607924866,0.31408879382279353,-0.019864919713421858,1.358209002849761,462201761.9047619
AMD,0.21005917322645207,0.5344229796284191,-0.07009371297789058,1.7449599889023684,93167147.61904761
AVGO,0.08717684151094729,0.3327112477466082,-0.0589135907439573,1.3759770039923183,27754380.95238095
ADBE,0.06500943247627511,0.24415416675826979,-0.02666924947497684,0.8905930178587432,2635423.8095238097
CRM,0.09745050130388577,0.2475977347575543,-0.023518426783661783,0.8708847823183085,5497866.666666667
ORCL,0.07757838348849977,0.18889672311210862,-0.02869579013397361,0.5686371970266779,8149385.714285715
INTC,-0.09874458152892873,0.4859093277517635,-0.1338043585789883,1.4837349754561229,47755595.23809524
QCOM,0.05904579927816833,0.29316873453327524,-0.054962213413499716,0.9028849065814002,8958819.047619049
CSCO,0.0011972459220099818,0.18951948811106661,-0.04108538375881665,0.5069342625841164,18169614.285714287
NOW,0.11327673578382735,0.21806261186449238,-0.02774246906918365,0.8070672092135248,6539309.523809524
PANW,0.17163918743307915,0.28717395745535135,-0.021336276186849523,0.6879098648190757,6295971.428571428
ZS,0.10971419497797075,0.32577891131541864,-0.038277921917965974,1.047072038712765,1731104.761904762
SNOW,0.034475488794407205,0.3936622322263466,-0.0663357561413278,1.3416579901851764,5093628.571428572
